issue_type,business_area,metric_name,metric_value,severity,severity_rank,business_issue_summary,root_cause_hypothesis,business_requirement,jira_epic,jira_user_story,acceptance_criteria,executive_recommendation,human_review_required
Supplier Delay Risk,Supplier 3,Supplier Delay Rate %,13.22,Medium,2,Supplier 3 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.22%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 3,"As a supplier performance manager, I want to track delay performance for Supplier 3 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 3.",True
Supplier Delay Risk,Supplier 18,Supplier Delay Rate %,13.18,Medium,2,Supplier 18 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.18%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 18,"As a supplier performance manager, I want to track delay performance for Supplier 18 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 18.",True
Supplier Delay Risk,Supplier 1,Supplier Delay Rate %,13.17,Medium,2,Supplier 1 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.17%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 1,"As a supplier performance manager, I want to track delay performance for Supplier 1 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 1.",True
Supplier Delay Risk,Supplier 13,Supplier Delay Rate %,13.15,Medium,2,Supplier 13 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 13.15%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 13,"As a supplier performance manager, I want to track delay performance for Supplier 13 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 13.",True
Supplier Delay Risk,Supplier 12,Supplier Delay Rate %,12.92,Medium,2,Supplier 12 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.92%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 12,"As a supplier performance manager, I want to track delay performance for Supplier 12 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 12.",True
Supplier Delay Risk,Supplier 19,Supplier Delay Rate %,12.72,Medium,2,Supplier 19 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.72%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 19,"As a supplier performance manager, I want to track delay performance for Supplier 19 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 19.",True
Supplier Delay Risk,Supplier 22,Supplier Delay Rate %,12.69,Medium,2,Supplier 22 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.69%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 22,"As a supplier performance manager, I want to track delay performance for Supplier 22 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 22.",True
Supplier Delay Risk,Supplier 21,Supplier Delay Rate %,12.29,Medium,2,Supplier 21 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.29%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 21,"As a supplier performance manager, I want to track delay performance for Supplier 21 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 21.",True
Supplier Delay Risk,Supplier 4,Supplier Delay Rate %,12.25,Medium,2,Supplier 4 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.25%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 4,"As a supplier performance manager, I want to track delay performance for Supplier 4 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 4.",True
Supplier Delay Risk,Supplier 7,Supplier Delay Rate %,12.2,Medium,2,Supplier 7 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.2%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 7,"As a supplier performance manager, I want to track delay performance for Supplier 7 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 7.",True
Supplier Delay Risk,Supplier 10,Supplier Delay Rate %,12.0,Medium,2,Supplier 10 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 12.0%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 10,"As a supplier performance manager, I want to track delay performance for Supplier 10 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 10.",True
Warehouse Delay Risk,Chicago Fulfillment Center,Late Shipment Rate %,11.78,Medium,2,Chicago Fulfillment Center shows a medium priority warehouse delay risk with a Late Shipment Rate % of 11.78%. This indicates an operational area that may require further business review.,"The issue may be caused by warehouse labor constraints, fulfillment bottlenecks, inventory availability gaps, order processing delays, or carrier coordination issues.",The business needs a warehouse performance monitoring process that identifies locations with elevated late shipment rates and flags them for operational review.,Reduce Late Shipments at Chicago Fulfillment Center,"As a warehouse operations manager, I want to monitor late shipment performance at Chicago Fulfillment Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.","Review warehouse operations, labor capacity, and fulfillment bottlenecks at Chicago Fulfillment Center to reduce late shipment risk.",True
Supplier Delay Risk,Supplier 6,Supplier Delay Rate %,11.65,Medium,2,Supplier 6 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 11.65%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 6,"As a supplier performance manager, I want to track delay performance for Supplier 6 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 6.",True
Supplier Delay Risk,Supplier 16,Supplier Delay Rate %,11.62,Medium,2,Supplier 16 shows a medium priority supplier delay risk with a Supplier Delay Rate % of 11.62%. This indicates an operational area that may require further business review.,"The issue may be caused by supplier lead-time variability, inconsistent supplier fulfillment, limited backup supplier coverage, or demand pressure on specific product categories.",The business needs a supplier performance monitoring process that identifies suppliers with elevated delay rates and flags them for reliability review.,Improve Delivery Reliability for Supplier 16,"As a supplier performance manager, I want to track delay performance for Supplier 16 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.","Review lead-time reliability, supplier performance patterns, and backup supplier options for Supplier 16.",True
