issue_key,issue_type,summary,epic_name,user_story,acceptance_criteria,priority,status,labels,business_area,metric_name,metric_value,severity,human_review_required
OPSPILOT-21,Story,Supplier Delay Risk: Supplier 23 - 13.31%,Improve Delivery Reliability for Supplier 23,"As a supplier performance manager, I want to track delay performance for Supplier 23 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 23,Supplier Delay Rate %,13.31,Medium,True
OPSPILOT-22,Story,Supplier Delay Risk: Supplier 3 - 13.22%,Improve Delivery Reliability for Supplier 3,"As a supplier performance manager, I want to track delay performance for Supplier 3 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 3,Supplier Delay Rate %,13.22,Medium,True
OPSPILOT-23,Story,Supplier Delay Risk: Supplier 18 - 13.18%,Improve Delivery Reliability for Supplier 18,"As a supplier performance manager, I want to track delay performance for Supplier 18 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 18,Supplier Delay Rate %,13.18,Medium,True
OPSPILOT-24,Story,Supplier Delay Risk: Supplier 1 - 13.17%,Improve Delivery Reliability for Supplier 1,"As a supplier performance manager, I want to track delay performance for Supplier 1 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 1,Supplier Delay Rate %,13.17,Medium,True
OPSPILOT-25,Story,Supplier Delay Risk: Supplier 13 - 13.15%,Improve Delivery Reliability for Supplier 13,"As a supplier performance manager, I want to track delay performance for Supplier 13 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 13,Supplier Delay Rate %,13.15,Medium,True
OPSPILOT-26,Story,Supplier Delay Risk: Supplier 12 - 12.92%,Improve Delivery Reliability for Supplier 12,"As a supplier performance manager, I want to track delay performance for Supplier 12 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 12,Supplier Delay Rate %,12.92,Medium,True
OPSPILOT-27,Story,Supplier Delay Risk: Supplier 19 - 12.72%,Improve Delivery Reliability for Supplier 19,"As a supplier performance manager, I want to track delay performance for Supplier 19 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 19,Supplier Delay Rate %,12.72,Medium,True
OPSPILOT-28,Story,Supplier Delay Risk: Supplier 22 - 12.69%,Improve Delivery Reliability for Supplier 22,"As a supplier performance manager, I want to track delay performance for Supplier 22 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 22,Supplier Delay Rate %,12.69,Medium,True
OPSPILOT-29,Story,Supplier Delay Risk: Supplier 21 - 12.29%,Improve Delivery Reliability for Supplier 21,"As a supplier performance manager, I want to track delay performance for Supplier 21 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 21,Supplier Delay Rate %,12.29,Medium,True
OPSPILOT-30,Story,Supplier Delay Risk: Supplier 4 - 12.25%,Improve Delivery Reliability for Supplier 4,"As a supplier performance manager, I want to track delay performance for Supplier 4 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 4,Supplier Delay Rate %,12.25,Medium,True
OPSPILOT-31,Story,Supplier Delay Risk: Supplier 7 - 12.2%,Improve Delivery Reliability for Supplier 7,"As a supplier performance manager, I want to track delay performance for Supplier 7 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 7,Supplier Delay Rate %,12.2,Medium,True
OPSPILOT-32,Story,Supplier Delay Risk: Supplier 10 - 12.0%,Improve Delivery Reliability for Supplier 10,"As a supplier performance manager, I want to track delay performance for Supplier 10 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 10,Supplier Delay Rate %,12.0,Medium,True
OPSPILOT-33,Story,Warehouse Delay Risk: Chicago Fulfillment Center - 11.78%,Reduce Late Shipments at Chicago Fulfillment Center,"As a warehouse operations manager, I want to monitor late shipment performance at Chicago Fulfillment Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Chicago Fulfillment Center,Late Shipment Rate %,11.78,Medium,True
OPSPILOT-34,Story,Supplier Delay Risk: Supplier 6 - 11.65%,Improve Delivery Reliability for Supplier 6,"As a supplier performance manager, I want to track delay performance for Supplier 6 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 6,Supplier Delay Rate %,11.65,Medium,True
OPSPILOT-35,Story,Supplier Delay Risk: Supplier 16 - 11.62%,Improve Delivery Reliability for Supplier 16,"As a supplier performance manager, I want to track delay performance for Supplier 16 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 16,Supplier Delay Rate %,11.62,Medium,True
OPSPILOT-36,Story,Warehouse Delay Risk: Atlanta Operations Center - 11.53%,Reduce Late Shipments at Atlanta Operations Center,"As a warehouse operations manager, I want to monitor late shipment performance at Atlanta Operations Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Atlanta Operations Center,Late Shipment Rate %,11.53,Medium,True
OPSPILOT-37,Story,Warehouse Delay Risk: Phoenix Fulfillment Center - 11.52%,Reduce Late Shipments at Phoenix Fulfillment Center,"As a warehouse operations manager, I want to monitor late shipment performance at Phoenix Fulfillment Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",Phoenix Fulfillment Center,Late Shipment Rate %,11.52,Medium,True
OPSPILOT-38,Story,Supplier Delay Risk: Supplier 24 - 10.84%,Improve Delivery Reliability for Supplier 24,"As a supplier performance manager, I want to track delay performance for Supplier 24 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 24,Supplier Delay Rate %,10.84,Medium,True
OPSPILOT-39,Story,Warehouse Delay Risk: New Jersey Fulfillment Center - 10.2%,Reduce Late Shipments at New Jersey Fulfillment Center,"As a warehouse operations manager, I want to monitor late shipment performance at New Jersey Fulfillment Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Medium,To Do,"warehouse,late-shipments,operations,ai-generated",New Jersey Fulfillment Center,Late Shipment Rate %,10.2,Medium,True
OPSPILOT-40,Story,Supplier Delay Risk: Supplier 15 - 10.0%,Improve Delivery Reliability for Supplier 15,"As a supplier performance manager, I want to track delay performance for Supplier 15 so that I can evaluate supplier reliability and reduce fulfillment risk.","Supplier delay rate must be calculated by supplier. | Suppliers above 10% delay rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Supplier reliability recommendations must require human review before business action.",Medium,To Do,"supplier-risk,delivery-delay,procurement,ai-generated",Supplier 15,Supplier Delay Rate %,10.0,Medium,True
OPSPILOT-41,Story,Warehouse Delay Risk: Boston Logistics Center - 9.16%,Reduce Late Shipments at Boston Logistics Center,"As a warehouse operations manager, I want to monitor late shipment performance at Boston Logistics Center so that I can identify fulfillment bottlenecks and improve delivery reliability.","Late shipment rate must be calculated by warehouse. | Warehouses above 10% late shipment rate must be flagged for review. | The output must include metric value, severity, and recommended analyst action. | Warehouse delay recommendations must require human review before business action.",Low,To Do,"warehouse,late-shipments,operations,ai-generated",Boston Logistics Center,Late Shipment Rate %,9.16,Low,True
